symbol,name,asset_type,sector_or_category,proxy_price,risk_bucket,is_diversified
AAPL,Apple Inc.,stock,Technology,189.50,high,false
MSFT,Microsoft Corp.,stock,Technology,415.20,high,false
NVDA,NVIDIA Corp.,stock,Technology,875.40,high,false
AMZN,Amazon.com Inc.,stock,Consumer Discretionary,198.60,high,false
META,Meta Platforms Inc.,stock,Communication Services,512.30,high,false
GOOGL,Alphabet Inc. Class A,stock,Communication Services,171.80,high,false
GOOG,Alphabet Inc. Class C,stock,Communication Services,173.10,high,false
TSLA,Tesla Inc.,stock,Consumer Discretionary,181.20,high,false
BRKB,Berkshire Hathaway B,stock,Financials,412.60,medium,false
JPM,JPMorgan Chase & Co.,stock,Financials,198.40,medium,false
JNJ,Johnson & Johnson,stock,Healthcare,152.30,medium,false
V,Visa Inc.,stock,Financials,277.40,medium,false
PG,Procter & Gamble,stock,Consumer Staples,168.40,medium,false
UNH,UnitedHealth Group,stock,Healthcare,489.20,medium,false
HD,Home Depot Inc.,stock,Consumer Discretionary,349.80,medium,false
MA,Mastercard Inc.,stock,Financials,471.30,medium,false
DIS,Walt Disney Co.,stock,Communication Services,111.90,medium,false
XOM,Exxon Mobil Corp.,stock,Energy,118.50,medium,false
CVX,Chevron Corp.,stock,Energy,161.10,medium,false
ABBV,AbbVie Inc.,stock,Healthcare,171.90,medium,false
MRK,Merck & Co.,stock,Healthcare,128.70,medium,false
PEP,PepsiCo Inc.,stock,Consumer Staples,176.10,medium,false
KO,Coca-Cola Co.,stock,Consumer Staples,63.80,low,false
ADBE,Adobe Inc.,stock,Technology,492.60,high,false
NFLX,Netflix Inc.,stock,Communication Services,614.20,high,false
CRM,Salesforce Inc.,stock,Technology,283.40,high,false
COST,Costco Wholesale Corp.,stock,Consumer Staples,712.10,medium,false
WMT,Walmart Inc.,stock,Consumer Staples,65.20,low,false
AMD,Advanced Micro Devices,stock,Technology,164.40,high,false
INTC,Intel Corp.,stock,Technology,34.80,medium,false
CSCO,Cisco Systems Inc.,stock,Technology,49.70,medium,false
ORCL,Oracle Corp.,stock,Technology,126.30,medium,false
TXN,Texas Instruments,stock,Technology,184.50,medium,false
AVGO,Broadcom Inc.,stock,Technology,1324.00,high,false
BAC,Bank of America Corp.,stock,Financials,38.40,medium,false
WFC,Wells Fargo & Co.,stock,Financials,58.20,medium,false
GS,Goldman Sachs Group,stock,Financials,447.30,medium,false
MS,Morgan Stanley,stock,Financials,95.60,medium,false
CAT,Caterpillar Inc.,stock,Industrials,337.80,medium,false
DE,Deere & Co.,stock,Industrials,399.20,medium,false
GE,GE Aerospace,stock,Industrials,160.40,medium,false
HON,Honeywell International,stock,Industrials,204.80,medium,false
IBM,IBM Corp.,stock,Technology,185.70,medium,false
QCOM,Qualcomm Inc.,stock,Technology,181.40,medium,false
AMGN,Amgen Inc.,stock,Healthcare,282.60,medium,false
TMO,Thermo Fisher Scientific,stock,Healthcare,562.40,medium,false
